model,instruction_version,baseline_start,baseline_end,current_start,current_end,quality_drift,verbosity_drift,instructional_stability_drift,latency_drift,quality_drift_flag,verbosity_drift_flag,instructional_stability_drift_flag,latency_drift_flag,drift_detected
gpt-4o-mini,v1_concise,2026-02-05 17:20:14.226972+00:00,2026-02-05 18:30:50.461732+00:00,2026-02-05 18:31:11.760658+00:00,2026-02-05 19:39:55.328083+00:00,0.1,0.14666666666666667,0.6711427831590131,0.00813083070080016,0,0,1,0,0
gpt-4o-mini,v2_detailed,2026-02-05 17:20:16.325234+00:00,2026-02-05 18:30:52.098353+00:00,2026-02-05 18:31:13.193949+00:00,2026-02-05 19:39:56.880601+00:00,0.21333333333333335,0.18666666666666668,0.6711427831590131,0.0028169669486257155,1,1,1,0,1
gpt-4.1-mini,v1_concise,2026-02-05 17:20:24.564528+00:00,2026-02-05 18:30:59.865483+00:00,2026-02-05 18:31:20.703362+00:00,2026-02-05 19:40:05.287661+00:00,0.07333333333333333,0.07333333333333333,0.25289531946999455,0.012828438670657529,0,0,1,0,0
gpt-4.1-mini,v2_detailed,2026-02-05 17:20:25.691210+00:00,2026-02-05 18:30:56.810334+00:00,2026-02-05 18:31:00.904292+00:00,2026-02-05 19:40:06.600767+00:00,0.1277591973244147,0.1276365663322185,0.7460502415915196,0.014825282849640714,0,0,1,0,0
gpt-3.5-turbo-0125,v1_concise,2026-02-05 17:20:33.473591+00:00,2026-02-05 18:31:08.039133+00:00,2026-02-05 18:31:32.146357+00:00,2026-02-05 19:40:14.714776+00:00,0.08333333333333333,0.11666666666666667,0.5820476946798617,0.013200941737519293,0,0,1,0,0
gpt-3.5-turbo-0125,v2_detailed,2026-02-05 17:20:34.599735+00:00,2026-02-05 18:31:09.712290+00:00,2026-02-05 18:31:33.061931+00:00,2026-02-05 19:40:15.760889+00:00,0.0774247491638796,0.06709030100334448,0.10270481790313998,0.011630415638626858,0,0,0,0,0
