model,instruction_version,quality_drift,verbosity_drift,instructional_stability_drift,latency_drift,quality_drift_flag,verbosity_drift_flag,instructional_stability_drift_flag,latency_drift_flag,drift_detected
gpt-3.5-turbo-0125,v2_detailed,0.08883585255900292,0.07966056748872978,0.13030950715850323,0.013548186424296487,0,0,0,0,0
gpt-3.5-turbo-0125,v1_concise,0.06349206349206349,0.09761904761904762,0.8812263256266135,0.009498896129234762,0,0,1,0,0
gpt-4.1-mini,v2_detailed,0.1692065440764365,0.155181616803224,1.3970646381535563,0.018008445846002263,1,1,1,0,1
gpt-4.1-mini,v1_concise,0.09285714285714286,0.0626984126984127,2.532794357293103,0.008413354791316082,0,0,1,0,0
gpt-4o-mini,v1_concise,0.05555555555555555,0.06746031746031746,0.03371387943903028,0.004059255029207391,0,0,0,0,0
gpt-4o-mini,v2_detailed,0.13015873015873017,0.1523809523809524,0.03371387943903028,0.005377968165777064,0,1,0,0,0
